[2019-03-20T12:43:30-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region3; SC_WORLD_UNLOADED; game type NONE (11)
[2019-03-20T12:43:44-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-20T12:55:46-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-20T12:56:39-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region3; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-03-20T12:56:39-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region3; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2019-03-20T12:58:36-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-20T12:58:37-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-20T13:15:58-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region3; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-03-20T13:15:58-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region3; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2019-03-20T17:08:02-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-20T17:08:03-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2019-03-20T18:26:14-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region3; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2019-03-20T18:26:14-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: baa2a75483; save: region3; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2019-03-21T10:29:31-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: 33dbe564b3; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2019-03-21T10:29:32-0600] DFHack 0.44.12-r2-0-g315852a2 on Windows; cwd md5: 33dbe564b3; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
